AegisSat.A1Gregorian,AegisSat.ElapsedSecs,AegisSat.Earth.Altitude,AegisSat.Earth.Latitude,AegisSat.Earth.Longitude
27 Jul 2025 03:02:04.756,54119.72176028648,626.2958577112968,46.24015690877535,126.1997732000203
27 Jul 2025 03:03:40.399,54215.3643807862,625.6571354529842,43.76358182638587,133.3781322446507
27 Jul 2025 03:05:16.034,54310.99999443395,624.8673290373117,40.82630623019097,139.9045698222249
27 Jul 2025 03:06:51.658,54406.62411806406,623.9642915702007,37.5090480336886,145.8108612299161
27 Jul 2025 03:08:27.268,54502.23404285498,622.9903854218155,33.88340664070779,151.1598554072934
27 Jul 2025 03:10:02.863,54597.82842571149,621.990640621465,30.0104155033161,156.0275976928692
27 Jul 2025 03:11:38.440,54693.40521505801,621.0108180397592,25.94113786940158,160.4920902774373
27 Jul 2025 03:13:13.999,54788.96484780125,620.0953840110424,21.71793745671942,164.6276554448022
27 Jul 2025 03:14:49.542,54884.50733745703,619.2856016739997,17.37624938993861,168.5024952530167
27 Jul 2025 03:16:25.067,54980.03246494336,618.6177240954739,12.94616250122339,172.1784356072045
27 Jul 2025 03:18:00.577,55075.54215296404,618.121395014774,8.453710481595991,175.7117878162615
27 Jul 2025 03:19:36.073,55171.03864137316,617.818378182008,3.922159813332099,179.1545334291165
27 Jul 2025 03:21:11.559,55266.52505766833,617.7216171035934,-0.6269720420486419,-177.4441928447076
27 Jul 2025 03:22:47.039,55362.00497034006,617.8346911118133,-5.172960189304624,-174.036591619259
27 Jul 2025 03:24:22.516,55457.48129786225,618.1516771492416,-9.694936334399964,-170.5746940206089
27 Jul 2025 03:25:57.993,55552.95909703709,618.657440833892,-14.17112849885335,-167.0087178271561
27 Jul 2025 03:27:33.476,55648.4417292173,619.328308172785,-18.5777186568606,-163.2856854643485
27 Jul 2025 03:29:08.967,55743.93268462736,620.1331190030687,-22.88784473118681,-159.3479290334029
27 Jul 2025 03:30:44.468,55839.43380110431,621.0345819024624,-27.07026287220838,-155.1319940815782
27 Jul 2025 03:32:19.984,55934.94919845834,621.9909387760554,-31.08806290180286,-150.5679009101494
27 Jul 2025 03:33:55.515,56030.48086571507,622.9577375084718,-34.89684624770151,-145.5800214898758
27 Jul 2025 03:35:31.063,56126.02883619256,623.8897516663774,-38.44311540255717,-140.0901526509445
27 Jul 2025 03:37:06.629,56221.59461894771,624.7429638612366,-41.66315373722212,-134.0243488908433
27 Jul 2025 03:37:43.222,56258.18801613059,625.0400179418875,-42.79433943405063,-131.5366351274925
27 Jul 2025 03:38:19.676,56294.64169620769,625.3163010608041,-43.8583629692582,-128.9640003803197
27 Jul 2025 03:38:32.464,56307.42995539913,625.4082070093837,-44.21591487787015,-128.0389433203412
27 Jul 2025 03:38:36.839,56311.80460666073,625.4390216981928,-44.33628881022598,-127.7197997311871
27 Jul 2025 03:38:41.861,56316.82630323339,625.4739946976324,-44.47323165576623,-127.3517570830568
27 Jul 2025 03:38:46.938,56321.90400715917,625.5089189032669,-44.61034717577591,-126.9777677027473
27 Jul 2025 03:38:51.757,56326.72244781861,625.5416473436635,-44.73919049905151,-126.6211619389259
27 Jul 2025 03:39:06.551,56341.51632722933,625.6395774355224,-45.12692140147561,-125.5158867319539
27 Jul 2025 03:39:54.038,56389.00383871514,625.9267019531599,-46.28822565919558,-121.8628701770715
27 Jul 2025 03:41:22.577,56477.54214846063,626.3413646982135,-48.08483891155681,-114.6424694269313
27 Jul 2025 03:42:57.376,56572.34187251888,626.5934185381529,-49.4158537901103,-106.4026401616375
27 Jul 2025 03:44:32.909,56667.87462921347,626.6311808881264,-50.07551430681607,-97.74121665381693
27 Jul 2025 03:46:08.530,56763.49569041049,626.4446124941396,-50.01611489430299,-88.95807297140705
27 Jul 2025 03:47:44.161,56859.12672408158,626.0359771741969,-49.23969799974272,-80.33054276073727
27 Jul 2025 03:49:19.790,56954.75601986982,625.4172200088724,-47.78635308040835,-72.09792484845507
27 Jul 2025 03:50:55.412,57050.37760849809,624.6093805665978,-45.72401285488102,-64.42574947736411
27 Jul 2025 03:52:31.022,57145.98766939016,623.6417611445586,-43.1350405319161,-57.39429572015594
27 Jul 2025 03:54:06.618,57241.58405415947,622.5507491447815,-40.1040859989195,-51.0115041438869
27 Jul 2025 03:55:42.197,57337.16266122647,621.3783808766857,-36.71011823547709,-45.23668375264011
27 Jul 2025 03:57:17.756,57432.72172096185,620.1705653231156,-33.02240138247222,-40.00265380242408
27 Jul 2025 03:58:53.295,57528.26028160052,618.9751892985187,-29.09964408139157,-35.23214712911942
27 Jul 2025 04:00:28.812,57623.77784525743,617.8401134996311,-24.9908067270215,-30.84759643144596
27 Jul 2025 04:02:04.307,57719.27288747393,616.8111637728553,-20.736671662374,-26.77604037817533
27 Jul 2025 04:03:39.782,57814.74783481099,615.9301262188164,-16.37127546944468,-22.95064012701222
